,ProductID,Date,Name,Category,Price,Total_sales_Quantity,Total_Sales_Transactions,Total_Price
0,46,2025-03-04 08:58:24,Product_46,Toys,224.26,21,1,4709.46
1,170,2025-03-04 08:58:24,Product_170,Books,9.35,5,1,46.75
2,173,2025-03-04 08:58:24,Product_173,Clothing,495.16,33,1,16340.28
3,236,2025-03-04 08:58:24,Product_236,Electronics,452.37,30,1,13571.1
4,72,2025-03-03 08:58:24,Product_72,Clothing,97.46,26,1,2533.96
5,344,2025-03-03 08:58:24,Product_344,Home Appliances,371.29,21,1,7797.09
6,484,2025-03-03 08:58:24,Product_484,Electronics,77.03,20,1,1540.6
7,487,2025-03-03 08:58:24,Product_487,Electronics,493.38,48,1,23682.24
8,244,2025-03-02 08:58:24,Product_244,Home Appliances,220.84,7,1,1545.88
9,402,2025-03-01 08:58:24,Product_402,Electronics,199.51,12,1,2394.12
10,101,2025-02-27 08:58:24,Product_101,Books,243.33,45,1,10949.85
11,254,2025-02-27 08:58:24,Product_254,Books,493.25,17,1,8385.25
12,17,2025-02-26 08:58:24,Product_17,Books,477.12,9,1,4294.08
13,488,2025-02-26 08:58:24,Product_488,Home Appliances,471.64,12,1,5659.68
14,184,2025-02-25 08:58:24,Product_184,Books,343.27,1,1,343.27
15,418,2025-02-25 08:58:24,Product_418,Toys,264.58,14,1,3704.12
16,440,2025-02-25 08:58:24,Product_440,Electronics,381.6,10,1,3816.0
17,11,2025-02-24 08:58:24,Product_11,Clothing,298.98,39,1,11660.22
18,295,2025-02-24 08:58:24,Product_295,Home Appliances,248.99,16,1,3983.84
19,317,2025-02-24 08:58:24,Product_317,Books,357.75,11,1,3935.25
20,327,2025-02-24 08:58:24,Product_327,Toys,370.97,47,1,17435.59
21,354,2025-02-24 08:58:24,Product_354,Clothing,82.66,28,1,2314.48
22,423,2025-02-24 08:58:24,Product_423,Books,487.59,21,1,10239.39
23,497,2025-02-24 08:58:24,Product_497,Clothing,224.19,4,1,896.76
24,146,2025-02-23 08:58:24,Product_146,Toys,468.75,43,1,20156.25
